Site name,Continent,Country,Latitude,Longitude,MAR objective,P-ET
Kentville Weir  (Lockyer Valley),Oceania,Australia,-27.492619,152.437705,Maximize Natural Storage,328.697998
South of Lyon,Europe,France,45.7684,4.8356,Water Quality Management,606.5079956
Pine Flat,North America,USA,42.236392,-121.564956,Maximize Natural Storage,326.5180054
Gracia-Morenita,Europe,Spain,42.46,-8.09,no data,585.1066895
Área do Instituto de Pesquisas Hidráulicas - UFRGS - Trincheira 1,South America,Brasil,-30.076102,-51.114595,Physical Aquifer Management,785.4373169
Mira Model School,Asia,India,28.630862,77.093942,Maximize Natural Storage,261.2086792
"Xiongxian, Baoding",Asia,China,36.630317,117.02111,Physical Aquifer Management,153.3359985
Sanjianpu,Asia,China,38.903652,121.286811,Physical Aquifer Management,159.2233276
Little Para Dam,Oceania,Australia,-34.7537319,138.7206319,Maximize Natural Storage,12.48933315
Northwest University,Asia,China,34.148276,108.87438,Physical Aquifer Management,86.19999695
"Xinshi, Baoding",Asia,China,38.94355,115.373177,Water Quality Management,80.96733093
Munno Para West,Oceania,Australia,-34.66836,138.674906,Ecological Benefits,12.48933315
Madonetta E,Europe,Italy,45.698,11.523,no data,478.7139893
Höttinger Au,Europe,Austria,47.269,11.404,Water Quality Management,839.7553101
Buell-Red Prairie AR,North America,USA,45.001552,-123.5132,Physical Aquifer Management,815.9286499
7th and 8th Street Basins,North America,USA,34.089705,-117.632777,no data,59.77133179
Ssangcheon,Asia,Korea,36.638522,127.346757,no data,748.0626831
San Gorgonio Pass basins,North America,USA,33.978323,-116.972362,no data,59.77133179
Eaton Wash Spreading Grounds,North America,USA,34.162916,-118.089032,Physical Aquifer Management,60.72733307
La Ligua,South America,Chile,-32.4499018,-71.2325958,Maximize Natural Storage,65.58000183
Peumo Valley,South America,Chile,-34.05,-71.3,Other Benefits,309.2426758
N/A,Asia,China,37.909021,102.647167,Physical Aquifer Management,41.39866638
Superstition Mountains Recharge Project (SMRP),North America,USA,33.226945,-111.500925,Maximize Natural Storage,42.06733322
Soreq-2,Asia,Israel,31.954099,34.76879,Water Quality Management,173.6186676
3 Ba Li Zhuang Lu Chaoyang Qu,Asia,China,39.913323,116.494904,Maximize Natural Storage,81.98867035
Jordan Valley Water District,North America,USA,40.68985,-111.834448,Physical Aquifer Management,10.93466663
Irrigation Science and Technology,Asia,China,39.076649,117.213038,Maximize Natural Storage,103.5666656
Kano River irrigation Project (KRIP),Africa,Nigeria,12.00012,8.51672,Maximize Natural Storage,421.8340149
Lopez Spreading Grounds,North America,USA,34.298245,-118.414121,Physical Aquifer Management,60.72733307
Emek Hefer Region,Asia,Israel,32.375216,34.90981,Physical Aquifer Management,173.6186676
Tanuf,Asia,Oman,23.058707,57.469183,Physical Aquifer Management,-16.52066612
Callide Dam (Callide Valley),Oceania,Australia,-24.366833,150.613771,Maximize Natural Storage,158.9266663
Jhiri (Amli),Asia,India,27.255127,76.219031,Maximize Natural Storage,261.2086792
Williston,Africa,South Africa,-31.624083,21.216791,Maximize Natural Storage,39.55266571
Appoigny,Europe,France,47.87689825,3.527624844,Physical Aquifer Management,353.5666809
Flammerans,Europe,France,47.2303313,5.447404674,no data,606.5079956
Llohué,South America,Chile,-36.30344636,-72.46431222,Ecological Benefits,505.7000122
Granite Reef Underground Storage Project (GRUSP),North America,USA,33.491674,-111.777168,Maximize Natural Storage,53.51599884
Mancha Real,Europe,Spain,37.79,-3.61,Maximize Natural Storage,233.0533295
"Tacoma Public Utilities Building – 13A1, B1",North America,USA,47.227693,-122.485958,Other Benefits,1097.702026
Torgau-Ost,Europe,Germany,51.554,13,Water Quality Management,489.3106689
Foothill Municipal Water District,North America,USA,34.455083,-119.733806,no data,60.72733307
Nardò,Europe,Italy,40.176,18.028,Physical Aquifer Management,239.9693298
La Mitidja Big Bag,Africa,Algeria,36.538316,3.061936,no data,231.8580017
Fakhrabad,Asia,Iran,31.635948,54.345453,Maximize Natural Storage,60.32466507
"West Coast Telephone Co. building – 31A1,A2",North America,USA,47.961856,-122.221574,Other Benefits,1097.702026
City of Lincoln – collector wells,North America,USA,41.056019,-96.321379,no data,66.26667023
Shifosi,Asia,China,42.147266,123.343543,Maximize Natural Storage,210.5306702
"Jinshui, Zhengzhou",Asia,China,34.82362,113.705344,Water Quality Management,147.5053406
Springfield,North America,USA,44.024614,-123.02081,Physical Aquifer Management,815.9286499
Nong Taphan,Asia,Thailand,12.753379,101.258063,no data,1205.890625
Monteccio Precalcino,Europe,Italy,45.698,11.523,no data,478.7139893
City of Walla Walla,North America,USA,46.061742,-118.346772,Maximize Natural Storage,71.99533081
Branford Spreading Basin,North America,USA,34.230428,-118.415493,Physical Aquifer Management,60.72733307
IEUA RP3 Ponds,North America,USA,34.044332,-117.475568,no data,59.77133179
Bacia 1: Rod. Geraldo Silva Nascimento – Instituto Federal Goiano,South America,Brasil,-17.495,-48.2269,Physical Aquifer Management,584.2266846
Satsuma,Oceania,Australia,-34.781838,138.717997,Management of Water Distribution Systems,12.48933315
Shougang,Asia,China,40.02154,116.264289,Maximize Natural Storage,81.98867035
Unity Park/Pooraka,Oceania,Australia,-34.87985,138.66977,Ecological Benefits,12.48933315
Madison Farms,North America,USA,45.712723,-119.359432,Physical Aquifer Management,71.99533081
City of Dallas,North America,USA,44.919471,-123.338634,Maximize Natural Storage,815.9286499
Wanglanzhuang,Asia,China,39.053573,117.191555,Maximize Natural Storage,103.5666656
Sedgwick Recharge System,North America,USA,37.883601,-97.481024,Physical Aquifer Management,121.1046677
Duck Lake recharge,North America,USA,48.454911,-119.538675,Maximize Natural Storage,132.7333374
Kalinkovo,Europe,Slovakia,48.0611,17.25248,Maximize Natural Storage,207.0740051
Live Oak Spreading Grounds,North America,USA,34.121945,-117.745374,Physical Aquifer Management,59.77133179
Torreele/St-Andre ́,Europe,Belgium,50.69744,5.753059,Water Quality Management,477.6199951
"Tacoma Savings & Loan Association Building – 4D1,2",North America,USA,47.237521,-122.432237,Other Benefits,1097.702026
Les Ansereuilles,Europe,France,50.557343,2.94616,Water Quality Management,477.6199951
Richland recharge basins,North America,USA,46.255101,-119.264761,no data,179.7433319
Sítio Fazenda Lagoa Comprida,South America,Brasil,-7.9,-40.25,Maximize Natural Storage,168.0966644
Fazenda Nossa Senhora do Rosário,South America,Brasil,-8.403055,-37.815,Maximize Natural Storage,185.2819977
Taihe Reservoir,Asia,China,36.519783,118.125446,Physical Aquifer Management,166.4033356
Saloppe,Europe,Germany,51.065,13.791,Water Quality Management,489.3106689
San Dimas Canyon Spreading Grounds,North America,USA,34.129229,-117.787097,Physical Aquifer Management,59.77133179
Casilla Valverde,Europe,Spain,40.53334,-3.696148,Management of Water Distribution Systems,258.6533203
Sítio Fazenda Pitombeira,South America,Brasil,-7.57382,-40.25341,Maximize Natural Storage,168.0966644
El Señorío,Europe,Spain,39.49,-4.96,Physical Aquifer Management,195.9100037
Mondragon,Europe,France,44.23826135,4.713302401,Water Quality Management,606.5079956
San Carlos Estates ASR System,North America,USA,26.389166,-81.7736111,no data,413.2106628
Hidango,South America,Chile,-34.10332595,-71.83023593,Ecological Benefits,526.5380249
Weinhübel,Europe,Germany,51.156,14.986,Water Quality Management,516.5040283
Flins,Europe,France,48.98248,1.860166,Water Quality Management,353.5666809
Kabudrahang,Asia,Iran,35.207186,48.724458,no data,142.1399994
Padipatlabayalu area,Asia,India,13.519922,79.020965,Maximize Natural Storage,320.4493408
Sítio Várzea Comprida,South America,Brasil,-24.047689,-48.870614,Maximize Natural Storage,503.1633301
Castle Pines,North America,USA,39.468491,-104.89332,no data,66.26667023
Bay Park Wastewater Treatment Plant,North America,USA,40.632986,-73.664929,no data,877.8033447
BS-4,South America,Brasil,-6.068088,-37.32788,Maximize Natural Storage,256.8193359
Hardhof,Europe,Switzerland,47.401,8.48,Water Quality Management,936.0553589
Birstal,Europe,Switzerland,47.493,7.591,no data,583.7360229
Biarjomand recharge project,Asia,Iran,36.076362,55.641625,Physical Aquifer Management,108.0546646
Belgrade,Europe,Serbia and Montenegro,44.84321,20.45654,Water Quality Management,299.5826721
Airport Shanghai,Asia,China,31.154511,121.804596,Maximize Natural Storage,380.0379944
Sand Hollow Reservoir,North America,USA,37.11278,-113.374061,Physical Aquifer Management,59.20199966
Yavne-3,Asia,Israel,31.853911,34.713885,Water Quality Management,173.6186676
Farm,Asia,China,47.588685,133.51825,Maximize Natural Storage,280.5313416
Muttenzer Hard,Europe,Switzerland,47.532,7.7,Water Quality Management,583.7360229
La atarjea,South America,Peru,-12.041335,-77.014331,Physical Aquifer Management,152.2146606
Paradise Run ASR System,North America,USA,27.21813,-80.960666,Ecological Benefits,413.2106628
Petersaue + WW Eich,Europe,Germany,50.01,8.264,no data,346.6159973
Luohe ASR,Asia,China,34.669067,112.479196,Maximize Natural Storage,147.5053406
Delray Beach,North America,USA,26.466666,-80.1,no data,413.2106628
Ordos Plateau,Asia,China,40.073906,109.80943,Maximize Natural Storage,56.19466782
Camp Peary,North America,USA,37.309114,-76.644654,no data,466.002655
Barragem subterrânea do Rio Palhano,South America,Brasil,-4.91667,-38.5167,Maximize Natural Storage,190.2100067
Schaffhausen,Europe,Switzerland,47.693,8.63,no data,936.0553589
N/A,Asia,China,40.073906,109.80943,Physical Aquifer Management,56.19466782
river Guadalquivir floodplain,Europe,Spain,37.04,-6.18,no data,233.0533295
Camarillo,North America,USA,34.216016,-119.029333,no data,60.72733307
Conceição (Barragem Comunitária Manoel Cândido Sobrinho),South America,Brasil,-6.81102,-49.270978,Maximize Natural Storage,747.1099854
Beenyup/Craigie Groundwater Replenishment Trial,Oceania,Australia,-31.7772582,115.7780548,Ecological Benefits,135.9806671
Lower Santa Cruz River Managed Recharge Project – LSCRMRP,North America,USA,32.418597,-111.206253,Maximize Natural Storage,42.61800003
Mariposa Water Reclamation Facility Surface Infiltration Gallery,North America,USA,35.372068,-106.663641,no data,36.39799881
Kiawah Island Utility,North America,USA,32.614431,-80.07201,Maximize Natural Storage,335.8733215
Kale Khosk,Asia,Iran,36.928119,55.490798,Management of Water Distribution Systems,93.90799713
Tummalur Chevaru,Asia,India,17.15206,78.45741,Physical Aquifer Management,256.7446594
Nizamuddin East Colony,Asia,India,28.589929,77.250827,Maximize Natural Storage,261.2086792
Kiindu Dam 4,Africa,Kenia,-1.45665,38.00079,Maximize Natural Storage,75.82333374
Crépieux-Charmy,Europe,France,45.797,4.905,Maximize Natural Storage,606.5079956
Miller Basin,North America,USA,33.864805,-117.856058,Other Benefits,60.72733307
Eaton Spreading Basin,North America,USA,34.123581,-118.081439,Physical Aquifer Management,60.72733307
Shanghai,Asia,China,31.238924,121.453504,Physical Aquifer Management,399.7593384
Fazenda Queimadas,South America,Brasil,-7.347735,-35.872607,Maximize Natural Storage,176.4686737
Fazenda Rosário,South America,Brasil,-10.11667,-39.0667,Maximize Natural Storage,0.785333335
Dyal Water Treatment Plant,North America,USA,28.389625,-80.940653,no data,331.9326782
Mesa Northwest Water Reclamation Plant (NWWRP),North America,USA,33.42888,-111.678445,no data,53.51599884
Someren DIZON,Europe,Netherlands,51.385,5.712,Water Quality Management,477.6199951
Praski 'Gruba Kaska',Europe,Poland,52.2238,21.0623,Water Quality Management,581.2173462
Tennet Pond Well field,North America,USA,40.425598,-74.335355,no data,639.166687
Morroa,South America,Colombia,9.332193,-75.307733,Physical Aquifer Management,1633.281372
Devonshire,North America,USA,39.851481,-74.954357,no data,639.166687
Siebeneichen,Europe,Germany,51.149,13.485,Water Quality Management,489.3106689
Kingswood Golf Club,Oceania,Australia,-37.9834735,145.118597,Maximize Natural Storage,235.6719971
Jinan,Asia,China,36.611064,116.962778,Physical Aquifer Management,153.3359985
Tolkewitz,Europe,Germany,51.034,13.824,Water Quality Management,489.3106689
Dagu River,Asia,China,39.829667,116.248785,Physical Aquifer Management,81.98867035
Arapuá,South America,Brasil,-6.34196,-37.21473,Maximize Natural Storage,275.5066528
University of Jinan,Asia,China,36.616178,116.965843,Physical Aquifer Management,153.3359985
"Cokery Lane, ASR well 11 (Monroe North)",North America,USA,39.66401,-74.95602,no data,639.166687
Indira Gandhi International Airport,Asia,India,28.558582,77.087112,Physical Aquifer Management,261.2086792
José Brasilino Coelho,South America,Brasil,-11.46667,-40.7,Maximize Natural Storage,7.817333221
Balsamand Regional Research Station,Asia,India,29.070696,75.490966,no data,100.7853317
BS-3,South America,Brasil,-7.068088,-38.32788,Maximize Natural Storage,275.5066528
Solandra,Oceania,Australia,-34.82274,138.686308,Management of Water Distribution Systems,12.48933315
Morroa,South America,Colombia,9.332193,-75.307733,Physical Aquifer Management,1633.281372
Ford Foundation,Asia,India,28.592755,77.22261,Maximize Natural Storage,261.2086792
Ferraro Quarry,Europe,Italy,45.67428,11.51734,Other Benefits,478.7139893
Kiindu Dam 5,Africa,Kenia,-1.45557,38.00053,Maximize Natural Storage,75.82333374
Las Vegas Valley well field,North America,USA,36.078198,-115.252769,Maximize Natural Storage,21.22333336
"Guangrao, Dongying",Asia,China,37.086911,118.484859,Physical Aquifer Management,182.8006592
Shenbagathope,Asia,India,12.631261,79.056774,no data,320.4493408
Central Avra Valley Storage and Recovery Project (CAVSARP),North America,USA,32.238059,-111.238615,Physical Aquifer Management,42.61800003
Udagamandalam (früher: Ootacamund),Asia,India,11.410759,76.699497,no data,487.2166748
Mulgowie Weir  (Lockyer Valley),Oceania,Australia,-27.753397,152.3724,Maximize Natural Storage,328.697998
Cochrane Park Rehabilitation Project,North America,USA,46.937199,-122.610175,Physical Aquifer Management,1097.702026
Daryan Chai,Asia,Iran,38.191138,45.604982,no data,161.0386658
La Cabaña bis,Europe,Spain,40.419288,-3.829101,Management of Water Distribution Systems,258.6533203
Tampa-Rome Avenue Park (TRAP) ASR,North America,USA,28.007244,-82.479783,no data,413.2106628
Marco Lakes – Expanded – ASR 2,North America,USA,26.065555,-81.69333333,Maximize Natural Storage,413.2106628
El Paso Water Utilities 2 (EPWU),North America,USA,31.940272,-106.364521,Maximize Natural Storage,36.39799881
City of Oxnard,North America,USA,34.204259,-119.177432,no data,60.72733307
Walnut Spreading Basin,North America,USA,34.074118,-117.874651,Physical Aquifer Management,60.72733307
Ringdijk,Europe,Netherlands,51.82,4.659,Water Quality Management,477.6199951
"Jinxiang, Jining",Asia,China,34.939029,116.241001,Physical Aquifer Management,301.4266663
BS-1,South America,Brasil,-9.068,-40.328,Maximize Natural Storage,101.4586639
Guadix,Europe,Spain,37.3,-3.14,Maximize Natural Storage,233.0533295
Indian Spinal Injuries Centre,Asia,India,28.532686,77.141672,Maximize Natural Storage,261.2086792
Yavne-4,Asia,Israel,31.84786,34.70719,Water Quality Management,173.6186676
Fazenda Folha Verde,South America,Brasil,-10.76667,-40.05,Maximize Natural Storage,7.817333221
"Columbia River High School – 10H1,2",North America,USA,45.693975,-122.677893,Other Benefits,841.6246948
Kumbhej,Asia,India,18.311588,75.174658,Maximize Natural Storage,547.0653076
Valle de Toluca,North America,Mexico,19.2826098,-99.6556653,Physical Aquifer Management,224.7373352
Sítio Almeida,South America,Brasil,-7.13384,-35.90199,Maximize Natural Storage,176.4686737
Ban Nong Na (Nong Kula) 1,Asia,Thailand,16.646433,99.999297,Physical Aquifer Management,495.9140015
Kolff,Europe,Netherlands,51.829,5.249,Water Quality Management,477.6199951
"Sindos, Giannitsa Plain",Europe,Greece,40.67,22.8,Water Quality Management,82.94799805
Clarendon Dam (Lockyer Valley),Oceania,Australia,-27.4975507,152.3359946,Maximize Natural Storage,328.697998
Cubeta de Santiuste de San Juan Bautista,Europe,Spain,41.08,-4.57,Other Benefits,276.4819946
Huangshuihe Underground dam,Asia,China,37.740275,120.522914,Physical Aquifer Management,200.5200043
Aguascalientes,North America,Mexico,21.890999,-102.293428,Maximize Natural Storage,127.3146667
Dordrecht,Europe,Netherlands,51.8188,4.665756,Water Quality Management,477.6199951
Nitata (Bhoja Kala),Asia,India,27.140253,76.201294,Maximize Natural Storage,261.2086792
Salem,North America,USA,44.888739,-123.037606,Maximize Natural Storage,815.9286499
Hillsboro ASR System (HASR),North America,USA,26.355307,-80.295232,Ecological Benefits,413.2106628
Valle de Santiago/ Río del Maipo,South America,Chile,-33.45,-70.666667,Maximize Natural Storage,309.2426758
Universidade Federal de São Carlos (UFSCar),South America,Brasil,-21.978339,-47.8805,Physical Aquifer Management,504.9293213
Lake Duthernal,North America,USA,40.40359,-74.370753,no data,639.166687
EMBRAPA – Campo experimental da Caatinga BS-2,South America,Brasil,-9.068088,-40.32788,Maximize Natural Storage,101.4586639
"Haidian, Peking",Asia,China,39.966394,116.319983,Maximize Natural Storage,81.98867035
Capdenac-Gare,Europe,France,44.582,2.082,Water Quality Management,365.2739868
Foissac,Europe,France,44.51086704,2.00351198,Physical Aquifer Management,365.2739868
Muklan,Asia,India,29.068497,75.659481,Water Quality Management,100.7853317
Heel,Europe,Netherlands,51.1886,5.881119,Water Quality Management,477.6199951
Shigaya well field C-105,Asia,Kuwait,29.102865,47.246907,no data,34.03066635
East Meadow – wells,North America,USA,40.711222,-73.559328,Physical Aquifer Management,877.8033447
Tongzhou,Asia,China,40.1139,116.713155,Maximize Natural Storage,81.98867035
